WigleWifi-1.4,appRelease=2.25,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
0a:8d:db:6e:71:26,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:32:24,6,-92,32.16769143,34.80988609,30,4,WIFI
02:8d:db:6e:71:26,888Guest,[ESS],2017-10-27 16:32:24,6,-93,32.16769143,34.80988609,30,4,WIFI
06:8d:db:6e:71:26,888Free,[ESS],2017-10-27 16:32:24,6,-96,32.16769143,34.80988609,30,4,WIFI
00:30:4f:82:a4:49,ensilo_guest,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:35:09,11,-83,32.16767918,34.8099261,32,5,WIFI
8e:15:44:a9:32:e6,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:35:31,11,-92,32.16767714,34.80987434,38,4,WIFI
74:da:39:b9:a7:bd,lavel-2,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:40,2,-89,32.16749575,34.8096228,38,3,WIFI
00:02:6f:12:34:56,Ezbob_WiFi,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:43,11,-83,32.16737112,34.80947136,37,3,WIFI
74:da:38:b9:a7:bc,lavel-2_2,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:43,2,-90,32.16737112,34.80947136,37,3,WIFI
90:8d:78:51:52:fb,brieftrace5,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:35:49,48,-79,32.16706717,34.80912469,29,3,WIFI
90:6c:ac:60:6c:8b,Maxillent,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:35:49,3,-91,32.16706717,34.80912469,29,3,WIFI
00:02:6f:bb:fd:ac,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:49,1,-93,32.16706717,34.80912469,29,3,WIFI
