WigleWifi-1.4,appRelease=2.25,model=ONEPLUS A3003,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3003_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
30:b5:c2:bd:55:32,CArgentina,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:33,2,-91,32.16761004,34.80986899,20,6.067999839782715,WIFI
74:da:38:ae:91:7b,lavel-2,[WPA2-PSK-CCMP-preauth][WPS][ESS],2017-10-27 16:35:43,2,-81,32.16732018,34.80949456,11,6.067999839782715,WIFI
90:8d:78:51:52:fb,brieftrace5,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:35:43,48,-90,32.16732018,34.80949456,11,6.067999839782715,WIFI
90:8d:78:51:52:fc,brieftrace,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:43,12,-87,32.16732018,34.80949456,11,6.067999839782715,WIFI
90:6c:ac:f3:6a:69,Rainbow Medical,[WPA2-PSK-CCMP-preauth][ESS],2017-10-27 16:35:43,5,-93,32.16732018,34.80949456,11,6.067999839782715,WIFI
0a:8d:db:6e:71:bf,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:35:48,1,-85,32.16707617,34.80915226,14,6.067999839782715,WIFI
ec:08:6b:38:0d:dd,RS_GUEST,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:49,13,-89,32.16702704,34.80909463,13,4.550999641418457,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:49,6,-90,32.16702704,34.80909463,13,4.550999641418457,WIFI
f8:d1:11:b1:92:93,iFOREX,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],2017-10-27 16:35:49,13,-85,32.16702704,34.80909463,13,4.550999641418457,WIFI
94:10:3e:a8:34:a0,CMT-ALap,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-27 16:35:53,36,-89,32.16691159,34.80894877,13,4.550999641418457,WIFI
10:fe:ed:62:9e:5c,RTI 15,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:53,5,-85,32.16691159,34.80894877,13,4.550999641418457,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:35:53,6,-86,32.16691159,34.80894877,13,4.550999641418457,WIFI
42501_13111_496642,Partner,UNKNOWN;il,2017-10-27 16:35:53,0,-113,32.16691159,34.80894877,13,4.550999641418457,GSM
7c:b7:33:2e:76:73,Mouly,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-10-27 16:35:54,11,-84,32.16689111,34.80892214,13,4.550999641418457,WIFI
0a:8d:db:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:35:54,1,-88,32.16689111,34.80892214,13,4.550999641418457,WIFI
94:f6:65:5b:b2:28,Efrat Networks MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:54,5,-91,32.16689111,34.80892214,13,4.550999641418457,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:54,5,-89,32.16689111,34.80892214,13,4.550999641418457,WIFI
30:f7:72:6e:8e:a0,HP-Print-A0-LaserJet Pro MFP,[ESS],2017-10-27 16:35:58,6,-85,32.16685904,34.80887986,13,4.550999641418457,WIFI
00:02:6f:bb:fd:ac,BlueSnap-Guest-2.4GHz,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:58,1,-80,32.16685904,34.80887986,13,4.550999641418457,WIFI
d0:17:c2:60:e7:38,ASUS,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:58,3,-82,32.16685904,34.80887986,13,4.550999641418457,WIFI
10:fe:ed:62:9e:1a,Crestron_23,[WPA2-PSK-CCMP][WPS][ESS],2017-10-27 16:35:58,4,-85,32.16685904,34.80887986,13,4.550999641418457,WIFI
cc:b2:55:e7:bf:ba,Hacker,[WPA2-PSK-CCMP][ESS],2017-10-27 16:35:58,6,-89,32.16685904,34.80887986,13,4.550999641418457,WIFI
