WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7c:b7:33:2e:76:73,Mouly,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],2017-10-27 16:34:47,11,-78,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
0a:8d:db:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:34:47,1,-84,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
0a:8d:db:6e:71:bf,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:34:47,1,-84,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
78:e8:b6:69:2a:e9,smartsell,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],2017-10-27 16:34:47,11,-87,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
06:8d:db:6e:71:6d,,[ESS],2017-10-27 16:34:47,1,-86,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
_6601_3021435,,UNKNOWN;il,2017-10-27 16:34:47,0,-113,32.1675586234778,34.8099447973073,61.7000007629395,5.5,GSM
02:8d:db:6e:71:6d,,[ESS],2017-10-27 16:34:53,1,-90,32.1675586234778,34.8099447973073,61.7000007629395,5.5,WIFI
0a:8d:cb:6e:71:6d,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:34:58,44,-84,32.1675586234778,34.8099447973073,61.7000007629395,5,WIFI
0a:8d:db:6e:71:be,888Corp,[WPA2-EAP-CCMP][ESS],2017-10-27 16:34:58,11,-93,32.1675586234778,34.8099447973073,61.7000007629395,5,WIFI
aa:6b:ad:04:c6:a8,DIRECT-a8-HP M477 LaserJet,[WPA2-PSK-CCMP][ESS][P2P],2017-10-27 16:34:58,6,-91,32.1675586234778,34.8099447973073,61.7000007629395,5,WIFI
06:8d:db:6e:71:be,,[ESS],2017-10-27 16:35:05,11,-92,32.1675586234778,34.8099447973073,61.7000007629395,4.5,WIFI
