WigleWifi-1.4,appRelease=2.25,model=ONEPLUS A3003,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3003_28_171012,board=QC_Reference_Phone,brand=OnePlus,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
42501_10221_1448394,Partner,UNKNOWN;il,28/10/2017 20:10,0,-69,32.0909486,34.8786141,0,21.11100006,GSM
14:cc:20:c8:83:9c,FHOME,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:10,5,-83,32.0909486,34.8786141,0,21.11100006,WIFI
e0:ce:c3:1a:31:75,dani2305,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:10,6,-79,32.0909486,34.8786141,0,21.11100006,WIFI
70:62:b8:31:80:4a,Arnoldo 2.4,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,1,-83,32.0909486,34.8786141,0,21.11100006,WIFI
f0:b4:29:88:90:94,TP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:10,1,-84,32.0909486,34.8786141,0,21.11100006,WIFI
5a:ee:0c:3c:36:8e,BezeqFree,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,1,-83,32.09038727,34.87862948,56,18.20399857,WIFI
48:ee:0c:3c:36:8d,che,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,1,-85,32.09038727,34.87862948,56,18.20399857,WIFI
c4:12:f5:f7:4a:40,Ness,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:10,8,-85,32.09038727,34.87862948,56,18.20399857,WIFI
cc:b2:55:e9:cb:fc,Bezeq-NGN_E9CBFB,[ESS],28/10/2017 20:10,6,-68,32.09038727,34.87862948,56,18.20399857,WIFI
c4:12:f5:f7:4a:40,Ness,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:10,8,-77,32.09033945,34.8785252,50,16.68700027,WIFI
c0:ac:54:f5:b5:7b,ester10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:10,1,-73,32.09033945,34.8785252,50,16.68700027,WIFI
14:ae:db:44:fa:bd,igor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:10,1,-81,32.09033945,34.8785252,50,16.68700027,WIFI
8c:59:c3:ea:db:86,Dima,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,11,-83,32.09033945,34.8785252,50,16.68700027,WIFI
dc:4a:3e:0c:8b:aa,DIRECT-A9-HP DeskJet 3830 series,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,6,-83,32.09033945,34.8785252,50,16.68700027,WIFI
90:8d:78:54:df:51,Gorge 2.4 G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,5,-83,32.09033945,34.8785252,50,16.68700027,WIFI
10:be:f5:3c:a7:b4,Solomon,[WPA2-PSK-CCMP][ESS],28/10/2017 20:10,3,-87,32.09033945,34.8785252,50,16.68700027,WIFI
d4:7b:b0:79:ca:1e,HOTBOX-Tatyana,[ESS],28/10/2017 20:10,1,-74,32.09033945,34.8785252,50,16.68700027,WIFI
42501_10221_1480505,Partner,HSDPA;il,28/10/2017 20:10,0,-83,32.09033945,34.8785252,50,16.68700027,GSM
42501_10221_1480505,Partner,HSDPA;il,28/10/2017 20:10,0,-77,32.09029801,34.8785105,51,15.17000008,GSM
10:be:f5:3c:a7:b4,Solomon,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,3,-79,32.09026265,34.87842737,56,13.65299988,WIFI
80:1f:02:e3:9a:4b,Bobrov,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,8,-79,32.09026265,34.87842737,56,13.65299988,WIFI
90:8d:78:54:df:50,Gorge 5G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-88,32.09026265,34.87842737,56,13.65299988,WIFI
40:65:a3:23:a1:04,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-82,32.09026265,34.87842737,56,13.65299988,WIFI
30:b5:c2:fe:c6:d9,TP-LINK_2.4GHz_FEC6D9,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,6,-87,32.09026265,34.87842737,56,13.65299988,WIFI
c0:ac:54:f8:09:e4,HOTBOX-3304,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-84,32.09026265,34.87842737,56,13.65299988,WIFI
18:a6:f7:8e:1c:5a,Censureded,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-84,32.09026265,34.87842737,56,13.65299988,WIFI
c0:d9:62:f4:fa:de,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-85,32.09026265,34.87842737,56,13.65299988,WIFI
fc:3f:db:e5:74:f2,DIRECT-F1-HP DeskJet 4670 series,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-87,32.09026265,34.87842737,56,13.65299988,WIFI
88:28:b3:8a:1e:3f,Partner-4G-1E3F,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,2,-87,32.09026265,34.87842737,56,13.65299988,WIFI
d0:d4:12:5f:e5:b2,Tina,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,6,-90,32.09026265,34.87842737,56,13.65299988,WIFI
c4:12:f5:f7:4a:40,Ness,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,8,-87,32.09048524,34.87696121,52,13.65299988,WIFI
cc:b2:55:e9:cb:fc,Bezeq-NGN_E9CBFB,[ESS],28/10/2017 20:11,6,-84,32.09048524,34.87696121,52,13.65299988,WIFI
c0:ac:54:f5:b5:7b,ester10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-81,32.09048524,34.87696121,52,13.65299988,WIFI
14:ae:db:44:fa:bd,igor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,1,-81,32.09048524,34.87696121,52,13.65299988,WIFI
8c:59:c3:ea:db:86,Dima,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-83,32.09048524,34.87696121,52,13.65299988,WIFI
90:8d:78:54:df:51,Gorge 2.4 G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,5,-84,32.09048524,34.87696121,52,13.65299988,WIFI
10:be:f5:3c:a7:b4,Solomon,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,3,-79,32.09048524,34.87696121,52,13.65299988,WIFI
d4:7b:b0:79:ca:1e,HOTBOX-Tatyana,[ESS],28/10/2017 20:11,1,-81,32.09048524,34.87696121,52,13.65299988,WIFI
80:1f:02:e3:9a:4b,Bobrov,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,8,-79,32.09048524,34.87696121,52,13.65299988,WIFI
90:8d:78:54:df:50,Gorge 5G,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,48,-88,32.09048524,34.87696121,52,13.65299988,WIFI
40:65:a3:23:a1:04,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-82,32.09048524,34.87696121,52,13.65299988,WIFI
30:b5:c2:fe:c6:d9,TP-LINK_2.4GHz_FEC6D9,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,6,-87,32.09048524,34.87696121,52,13.65299988,WIFI
c0:ac:54:f8:09:e4,HOTBOX-3304,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,1,-84,32.09048524,34.87696121,52,13.65299988,WIFI
18:a6:f7:8e:1c:5a,Censureded,[WPA2-PSK-CCMP][WPS][ESS],28/10/2017 20:11,11,-84,32.09048524,34.87696121,52,13.65299988,WIFI
c0:d9:62:f4:fa:de,Diana,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-85,32.09048524,34.87696121,52,13.65299988,WIFI
fc:3f:db:e5:74:f2,DIRECT-F1-HP DeskJet 4670 series,[WPA2-PSK-CCMP][ESS],28/10/2017 20:11,11,-87,32.09048524,34.87696121,52,13.65299988,WIFI
