WigleWifi-1.4,appRelease=2.26,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
10:5a:f7:0f:d5:32,Zvi_2.4,[WPA2-PSK-CCMP][ESS],2017-12-01 10:49:21,11,-91,32.17228106,34.81440381,51,3,WIFI
62:ee:0c:3d:eb:b9,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-12-01 10:49:42,9,-88,32.17227827,34.81413625,45,3,WIFI
b0:b2:8f:01:ad:fe,Lahav,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:49:51,11,-73,32.17234589,34.81367079,44,3,WIFI
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:00,1,-71,32.1724094,34.81316731,41,3,WIFI
60:e3:27:e8:41:e8,Mevohot_3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 10:50:00,11,-80,32.1724094,34.81316731,41,3,WIFI
06:ae:db:ba:1e:85,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:00,11,-76,32.1724094,34.81316731,41,3,WIFI
14:ae:db:ba:1e:85,GuyHila,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:00,11,-76,32.1724094,34.81316731,41,3,WIFI
70:5a:0f:b2:64:cd,DIRECT-CC-HP DeskJet 4670 series,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:06,6,-80,32.17246049,34.81286197,42,3,WIFI
70:5a:0f:b2:64:cd,DIRECT-CC-HP DeskJet 4670 series,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:09,6,-75,32.17250306,34.81263803,42,3,WIFI
fc:75:16:55:27:fa,BS-WIFI-4EVER,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:09,6,-94,32.17250306,34.81263803,42,3,WIFI
3c:52:82:af:42:75,DIRECT-74-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:12,1,-59,32.17253375,34.81242662,42,3,WIFI
08:97:58:32:d2:98,NIPPON_3687,[WPA-PSK-CCMP][WPS][ESS],2017-12-01 10:50:15,2,-79,32.17254538,34.81222007,42,3,WIFI
80:1f:02:a3:7d:62,Gil Kitchen,[WPA-PSK-TKIP][ESS],2017-12-01 10:50:15,6,-87,32.17254538,34.81222007,42,3,WIFI
a0:ab:1b:5d:c2:60,urigil1,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:18,10,-97,32.17242642,34.81207339,43,3,WIFI
c4:12:f5:85:27:c2,varda,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:21,1,-83,32.17226944,34.81201158,41,3,WIFI
c4:12:f5:85:27:c1,varda_HD,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:21,60,-88,32.17226944,34.81201158,41,3,WIFI
54:b8:0a:34:68:90,Shani - Green,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:50:27,6,-89,32.17190615,34.81187369,37,3,WIFI
c4:a8:1d:12:df:c5,maya salon,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:50:36,1,-89,32.17134232,34.81165241,37,3,WIFI
00:c0:02:0a:c6:c2,luxynet,[WPA-PSK-TKIP][ESS],2017-12-01 10:50:36,7,-93,32.17134232,34.81165241,37,3,WIFI
52:a8:1d:12:df:c4,@Cafe,[ESS],2017-12-01 10:50:36,1,-92,32.17134232,34.81165241,37,3,WIFI
64:d9:54:e4:95:37,Gana7_2GExt,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:45,5,-90,32.1708157,34.81137225,32,3,WIFI
48:ee:0c:3c:30:1e,Gana7,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:45,5,-93,32.1708157,34.81137225,32,3,WIFI
d8:5d:4c:d9:c4:68,shlomi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 10:50:48,1,-82,32.17062149,34.81126162,29,3,WIFI
d8:5d:4c:d9:c4:68,shlomi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 10:50:54,1,-77,32.17022989,34.81107053,29,3,WIFI
74:da:38:a9:1c:df,  InnovationEndeavors,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:58,2,-89,32.1699948,34.81094348,29,3,WIFI
c4:a8:1d:13:2a:95,Eric 2.4,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:58,1,-87,32.1699948,34.81094348,29,3,WIFI
74:da:38:97:66:9d,oved-main_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:51:01,6,-77,32.16983611,34.81088834,28,3,WIFI
10:be:f5:3f:b2:ce,bait,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:01,10,-94,32.16983611,34.81088834,28,3,WIFI
a0:8e:78:7f:2a:69,HOTBOX12,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:51:01,1,-87,32.16983611,34.81088834,28,3,WIFI
c0:ac:54:f8:6b:28,Li,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:51:04,1,-80,32.16970224,34.81083489,27,3,WIFI
48:ee:0c:39:f9:15,Ronizyc1,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:07,5,-92,32.16957488,34.81078619,23,3,WIFI
62:ee:0c:39:f9:16,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:10,5,-84,32.16948516,34.81076003,23,3,WIFI
48:ee:0c:39:f9:15,Ronizyc1,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:10,5,-85,32.16948516,34.81076003,23,3,WIFI
ac:f1:df:76:a0:9c,dlink-A09C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 10:51:13,11,-94,32.16940059,34.81073707,24,3,WIFI
c8:d7:19:d4:7c:73,forestisthebest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 10:51:19,6,-93,32.16937301,34.81072683,27,3,WIFI
