WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQJ5,board=universal8895,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:92:af:77,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:00:27,40,-79,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
3c:52:82:ef:c4:3c,DIRECT-3B-HP DeskJet 3630 series,[WPA2-PSK-CCMP][WPS][ESS],2017-12-03 09:00:27,6,-72,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
1c:b9:c4:16:ed:3c,Ariel_University,[ESS][BLE],2017-12-03 09:00:27,44,-74,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
1c:b9:c4:14:30:3c,Ariel_University,[ESS][BLE],2017-12-03 09:00:27,44,-76,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
1c:b9:c4:94:30:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:00:27,44,-79,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
1c:b9:c4:16:f1:5c,Ariel_University,[ESS][BLE],2017-12-03 09:00:27,52,-83,32.10296049325714,35.20969913393224,702.1428799579676,4,WIFI
42501_7211_3084804,Partner,UNKNOWN;il,2017-12-03 09:00:27,0,-85,32.10296049325714,35.20969913393224,702.1428799579676,4,GSM
e4:95:6e:40:87:1a,OOP_course,[WPA2-PSK-CCMP][ESS],2017-12-03 09:01:37,1,-12,32.10298811526831,35.20966517514508,702.0409029813914,4,WIFI
42501_7211_3084804,Partner,UNKNOWN;il,2017-12-03 09:01:37,0,-79,32.10298811526831,35.20966517514508,702.0409029813914,4,GSM
42501_7211_3084804,Partner,UNKNOWN;il,2017-12-03 09:01:49,0,-73,32.1029901313545,35.20966322455728,702.0960842512501,4,GSM
1c:b9:c4:12:af:7c,Ariel_University,[ESS][BLE],2017-12-03 09:02:19,40,-77,32.103006095311606,35.20964526642827,702.4456558045867,4,WIFI
1c:b9:c4:15:ec:3c,Ariel_University,[ESS][BLE],2017-12-03 09:02:25,36,-82,32.10302056472078,35.209661717337,702.7411783352208,4,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS][BLE],2017-12-03 09:02:25,11,-89,32.10302056472078,35.209661717337,702.7411783352208,4,WIFI
1c:b9:c4:12:af:78,Ariel_University,[ESS][BLE],2017-12-03 09:02:28,11,-74,32.10302066887821,35.20966235296473,702.7589737898068,4,WIFI
1c:b9:c4:96:ed:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:02:28,44,-82,32.10302066887821,35.20966235296473,702.7589737898068,4,WIFI
1c:b9:c4:95:ec:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:02:28,36,-84,32.10302066887821,35.20966235296473,702.7589737898068,4,WIFI
1c:b9:c4:96:ed:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:02:34,44,-77,32.10302100154479,35.20966614792174,702.8930705114926,4,WIFI
1c:b9:c4:95:1c:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:02:43,36,-90,32.10303985479879,35.20968826555523,703.11594160034,4,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS][BLE],2017-12-03 09:03:01,11,-79,32.103276346028004,35.20968224845495,703.8508035498224,3,WIFI
1c:b9:c4:94:2b:87,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:03:07,44,-88,32.10337113537652,35.209710253406485,704.1006958412728,3,WIFI
1c:b9:c4:96:ed:47,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:03:10,36,-91,32.103422735825944,35.2097119010955,704.24502290678,3,WIFI
1c:b9:c4:95:ed:b7,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:03:10,48,-92,32.103422735825944,35.2097119010955,704.24502290678,3,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS][BLE],2017-12-03 09:03:13,6,-81,32.10340998113717,35.209694768890756,704.4103268040734,3,WIFI
1c:b9:c4:96:f1:57,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:03:13,52,-82,32.10340998113717,35.209694768890756,704.4103268040734,3,WIFI
1c:b9:c4:14:2b:8c,Ariel_University,[ESS][BLE],2017-12-03 09:03:19,44,-82,32.10332786597918,35.20965551102127,704.8397895237058,3,WIFI
1c:b9:c4:15:1c:b8,Ariel_University,[ESS][BLE],2017-12-03 09:03:19,1,-75,32.10332786597918,35.20965551102127,704.8397895237058,3,WIFI
d8:5d:4c:9e:69:22,AUC_4_2_24,[ESS],2017-12-03 09:03:19,1,-78,32.10332786597918,35.20965551102127,704.8397895237058,3,WIFI
1c:b9:c4:14:2b:88,Ariel_University,[ESS][BLE],2017-12-03 09:03:22,11,-80,32.10328570765323,35.20965870751324,705.0684892637616,3,WIFI
1c:b9:c4:12:af:7c,Ariel_University,[ESS][BLE],2017-12-03 09:03:57,40,-72,32.10296650575114,35.20968182189735,706.910415983014,3,WIFI
1c:b9:c4:15:ec:3c,Ariel_University,[ESS][BLE],2017-12-03 09:03:57,36,-77,32.10296650575114,35.20968182189735,706.910415983014,3,WIFI
1c:b9:c4:92:af:77,,[WPA2-PSK-CCMP][ESS][BLE],2017-12-03 09:03:57,40,-72,32.10296650575114,35.20968182189735,706.910415983014,3,WIFI
1c:b9:c4:14:30:38,Ariel_University,[ESS][BLE],2017-12-03 09:04:00,1,-77,32.10291540835992,35.20969651518472,707.0801300751997,3,WIFI
