WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQJ5,board=universal8895,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
40:65:a3:35:4c:c4,Efrat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:49:08,1,-75,32.17218268216534,34.81446401702757,13.65040888895076,6,WIFI
08:97:58:32:69:c6,Volvo247,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:49:14,4,-81,32.172209259560766,34.814448298318844,15.376435938028056,8,WIFI
14:ae:db:58:73:75,love,[WPA2-PSK-CCMP][ESS],2017-12-01 10:49:29,1,-78,32.172250875103074,34.81436692415887,25.869143128974688,4,WIFI
00:12:2a:35:c8:7c,Chakir,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],2017-12-01 10:49:44,1,-86,32.17228483399432,34.814036899369874,30.59005383029067,3,WIFI
c4:a8:1d:12:7d:4c,Orit,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:49:47,6,-69,32.17230733807558,34.81387685906902,30.93962047051264,3,WIFI
20:0c:c8:1b:a2:48,Mevohot_1,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-12-01 10:49:56,6,-70,32.172382685741084,34.81336124587249,31.34185373223523,3,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,2017-12-01 10:50:02,0,-105,32.1724135732166,34.81308167653217,31.47562002932132,2,GSM
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:05,1,-77,32.17244003231061,34.81291470608912,31.60427366454716,3,WIFI
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:05,1,-68,32.17244003231061,34.81291470608912,31.60427366454716,3,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,2017-12-01 10:50:05,0,-99,32.17244003231061,34.81291470608912,31.60427366454716,3,GSM
08:97:58:32:d2:98,NIPPON_3687,[WPA-PSK-CCMP][WPS][ESS],2017-12-01 10:50:08,2,-88,32.17248382374769,34.812693847413286,31.655143780144986,2,WIFI
08:97:58:32:d2:98,NIPPON_3687,[WPA-PSK-CCMP][WPS][ESS],2017-12-01 10:50:11,2,-80,32.1725225188478,34.81247911919242,31.65132309930995,6,WIFI
00:78:9e:f9:e8:58,Hotbox,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:50:11,11,-91,32.1725225188478,34.81247911919242,31.65132309930995,6,WIFI
c4:12:f5:85:27:c2,varda,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:50:14,1,-86,32.17254564957508,34.81226897382831,31.618010387253292,4,WIFI
a0:ab:1b:57:cd:42,Helen.,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:50:20,10,-74,32.17229408710547,34.812042356198646,31.564860016164797,4,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,2017-12-01 10:50:26,0,-97,32.17191742911665,34.811904195497384,31.367229751535387,4,GSM
c4:04:15:60:6a:b5,Ben Ami_2.4,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-12-01 10:50:29,11,-73,32.171728186062275,34.8118405837912,31.30445033277722,4,WIFI
c4:12:f5:85:27:c2,varda,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:50:32,1,-88,32.17154067297358,34.811768201385796,31.186797226280795,4,WIFI
3c:1e:04:07:2a:ff,ronkla2_5,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:50:35,48,-85,32.17135803478369,34.81168874408503,31.090525572576986,6,WIFI
c4:12:f5:fb:c0:3e,mika1,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:50:38,1,-77,32.17117720998362,34.811600945951724,30.92205515278031,4,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,2017-12-01 10:50:44,0,-105,32.17079804250259,34.811406143585245,30.471612422990795,4,GSM
64:d9:54:e4:95:37,Gana7_2GExt,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:47,5,-88,32.17061250500982,34.81130191879183,30.49189808903073,4,WIFI
14:ae:db:b7:99:2d,Guymic,[WPA2-PSK-CCMP][ESS],2017-12-01 10:50:50,6,-78,32.1704220061369,34.811205413681165,30.648087593734658,4,WIFI
00:24:2b:cf:13:21,stephane,[ESS],2017-12-01 10:50:53,1,-82,32.17023774400125,34.811098338566204,30.62847275857126,4,WIFI
30:d3:2d:37:20:f4,devolo-0f4,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:56,6,-80,32.170053389171805,34.81099874038432,30.62659341727973,4,WIFI
00:78:9e:fb:1e:09,HOTBOX-4D4E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 10:50:56,1,-91,32.170053389171805,34.81099874038432,30.62659341727973,4,WIFI
20:0c:c8:1d:c8:2b,Neeman2.4,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-12-01 10:50:59,1,-78,32.16988410573102,34.81092582224991,30.446072012812692,4,WIFI
74:da:38:97:66:9d,oved-main_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 10:50:59,6,-78,32.16988410573102,34.81092582224991,30.446072012812692,4,WIFI
74:da:39:54:b8:1d,oved-main,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:02,6,-83,32.169728418133815,34.810858045280845,30.475360437267003,4,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,2017-12-01 10:51:02,0,-101,32.169728418133815,34.810858045280845,30.475360437267003,4,GSM
c4:12:f5:f9:5c:7c,Lili,[WPA2-PSK-CCMP][ESS][BLE],2017-12-01 10:51:08,11,-86,32.169491346626565,34.81077184677352,30.418708757918328,4,WIFI
74:da:38:c3:12:45,Liliup,[WPA2-PSK-CCMP][ESS],2017-12-01 10:51:08,2,-88,32.169491346626565,34.81077184677352,30.418708757918328,4,WIFI
20:0c:c8:0f:21:93,ELCHARAR_2.4,[WPA2-PSK-CCMP][WPS][ESS][BLE],2017-12-01 10:51:08,1,-89,32.169491346626565,34.81077184677352,30.418708757918328,4,WIFI
