WigleWifi-1.4,appRelease=2.26,model=Lenovo PB2-690Y,release=6.0.1,device=PB2PRO,display=PB2-690Y_S200032_161214,board=msm8952,brand=Lenovo
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7c:03:4c:ba:f5:5a,HOTBOX-1234,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 11:09:20,6,-75,32.17237924,34.81348839,36,3,WIFI
52:b0:ce:ac:32:98,Bezeq Free GA32E3,[ESS],2017-12-01 11:09:29,1,-90,32.17249007,34.81279901,35,3,WIFI
6c:b0:ce:ac:32:9b,dobry2016,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 11:09:29,1,-89,32.17249007,34.81279901,35,3,WIFI
b0:b2:8f:01:ad:fe,Lahav,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 11:09:32,11,-87,32.17254002,34.81256671,36,3,WIFI
70:5a:0f:b2:64:cd,DIRECT-CC-HP DeskJet 4670 series,[WPA2-PSK-CCMP][ESS],2017-12-01 11:09:32,6,-68,32.17254002,34.81256671,36,3,WIFI
10:0d:7f:80:17:80,ELDAD,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 11:09:32,11,-77,32.17254002,34.81256671,36,3,WIFI
00:f6:63:15:58:81,KaymeraDev,[WPA2-PSK-CCMP][ESS],2017-12-01 11:09:41,1,-90,32.1723185,34.81202557,33,3,WIFI
c0:ff:d4:7b:82:30,Candan,[ESS],2017-12-01 11:09:41,1,-89,32.1723185,34.81202557,33,3,WIFI
f4:f2:6d:5e:d0:48,alfa,[WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 11:09:44,11,-96,32.17206721,34.81192728,32,3,WIFI
00:f6:63:15:58:82,KaymeraGuest,[ESS],2017-12-01 11:09:44,1,-94,32.17206721,34.81192728,32,3,WIFI
c4:04:15:60:6a:b6,BezeqNGN_10072E_5GHz_1,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 11:09:47,48,-82,32.17180755,34.81183239,31,3,WIFI
f8:d1:11:ce:e5:e6,TP-LINK-BET,[WPS][ESS],2017-12-01 11:09:56,4,-96,32.17106538,34.81150977,30,3,WIFI
c0:ac:54:f8:0c:ac,G10,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 11:09:56,11,-94,32.17106538,34.81150977,30,3,WIFI
28:80:23:40:5f:af,HP-Print-AF-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2017-12-01 11:09:56,6,-96,32.17106538,34.81150977,30,3,WIFI
74:da:38:6c:89:7b,Hetz2,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 11:10:04,1,-83,32.17043936,34.81118089,29,3,WIFI
18:cc:23:00:18:45,gononsmarthome,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2017-12-01 11:10:04,3,-92,32.17043936,34.81118089,29,3,WIFI
98:e7:f4:0a:dd:86,DIRECT-85-HP OfficeJet Pro 6960,[WPA2-PSK-CCMP][WPS][ESS],2017-12-01 11:10:04,6,-89,32.17043936,34.81118089,29,3,WIFI
58:b6:33:34:ae:f8,RDK,[WPA2-PSK-CCMP][ESS],2017-12-01 11:10:04,11,-91,32.17043936,34.81118089,29,3,WIFI
74:da:38:a9:1c:df,  InnovationEndeavors,[WPA2-PSK-CCMP][ESS],2017-12-01 11:10:13,2,-92,32.16967507,34.81084759,30,3,WIFI
10:fe:ed:74:fc:46,Alpha125,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 11:10:17,1,-92,32.16931851,34.81071738,31,3,WIFI
cc:b2:55:e8:4c:e6,INGENEO,[WPA2-PSK-CCMP+TKIP][ESS],2017-12-01 11:10:26,6,-88,32.16874453,34.81063066,28,3,WIFI
e4:6f:13:73:0a:c2,simon,[WPA2-PSK-CCMP][ESS],2017-12-01 11:10:26,8,-90,32.16874453,34.81063066,28,3,WIFI
c0:ff:d4:7b:82:30,Candan,[ESS],2017-12-01 11:10:26,1,-88,32.16874453,34.81063066,28,3,WIFI
00:78:9e:fa:b2:d0,Avisky,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-12-01 11:10:32,11,-91,32.16871788,34.811185,29,3,WIFI
